Country Name,Country Code,GDP
North America,NAC,2.31178E+13
Namibia,NAM,12366527719
New Caledonia,NCL,
Niger,NER,12928145120
Nigeria,NGA,4.4812E+11
Nicaragua,NIC,12520915291
Netherlands,NLD,9.0907E+11
Norway,NOR,4.03336E+11
Nepal,NPL,30641380604
Nauru,NRU,118223430.1
New Zealand,NZL,2.06929E+11
OECD members,OED,5.35813E+13
Oman,OMN,76983094928
Other small states,OSS,4.38468E+11
Pakistan,PAK,2.78222E+11
Panama,PAN,66800800000
Peru,PER,2.26848E+11
Philippines,PHL,3.76796E+11
Palau,PLW,
Papua New Guinea,PNG,24969611435
Poland,POL,5.92164E+11
Pre-demographic dividend,PRE,1.39126E+12
Puerto Rico,PRI,1.04989E+11
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,2.37686E+11
Paraguay,PRY,38145288940
West Bank and Gaza,PSE,
Pacific island small states,PSS,10456001897
Post-demographic dividend,PST,5.06713E+13
French Polynesia,PYF,
Qatar,QAT,1.83466E+11
Romania,ROU,2.50077E+11
Russian Federation,RUS,1.69988E+12
Rwanda,RWA,10122472590
South Asia,SAS,3.59797E+12
Saudi Arabia,SAU,7.92967E+11
Sudan,SDN,18902284476
Senegal,SEN,23578084052
Singapore,SGP,3.72063E+11
Solomon Islands,SLB,1425074226
Sierra Leone,SLE,3941474311
El Salvador,SLV,27022640000
San Marino,SMR,
Somalia,SOM,
Serbia,SRB,51409167351
Sub-Saharan Africa (excluding high income),SSA,1.73912E+12
South Sudan,SSD,
Sub-Saharan Africa,SSF,1.75501E+12
Small states,SST,5.25221E+11
Sao Tome and Principe,STP,429016605.2
Suriname,SUR,3985250737
Slovak Republic,SVK,1.05422E+11
Slovenia,SVN,53742159517
Sweden,SWE,5.30833E+11
Eswatini,SWZ,4405405802
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,1698843063
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,11314951343
East Asia & Pacific (IDA & IBRD countries),TEA,1.71815E+13
Europe & Central Asia (IDA & IBRD countries),TEC,4.14209E+12
Togo,TGO,5459979417
Thailand,THA,5.4365E+11
Tajikistan,TJK,8116626794
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.47475E+12
Timor-Leste,TLS,1673540300
Middle East & North Africa (IDA & IBRD countries),TMN,
Tonga,TON,
South Asia (IDA & IBRD),TSA,3.59797E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.75501E+12
Trinidad and Tobago,TTO,24100202834
Tunisia,TUN,38797709924
Turkey,TUR,7.54412E+11
Tuvalu,TUV,47271463.33
Tanzania,TZA,63177068175
Uganda,UGA,34387229486
Ukraine,UKR,1.53781E+11
Upper middle income,UMC,2.58171E+13
Uruguay,URY,56045912952
United States,USA,2.13744E+13
Uzbekistan,UZB,57921286440
St. Vincent and the Grenadines,VCT,825385185.2
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2.61921E+11
Vanuatu,VUT,917058850.8
World,WLD,8.76975E+13
Samoa,WSM,850655017.2
Kosovo,XKX,7926108374
"Yemen, Rep.",YEM,
South Africa,ZAF,3.51432E+11
Zambia,ZMB,23064722446
Zimbabwe,ZWE,21440758800
